Name,Latitude,Longitude,Category,Colour,IconScale,IconColor,LabelScale,Folder,Icon
,32.108878,34.8051923,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.10871906,34.80550143,,,,,,tre,97
,32.1087255,34.8054706,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1087298,34.8054617,,,,,,tre,97
,32.1087264,34.8054944,,,,,,tre,97
,32.1087399,34.8054432,,,,,,tre,97
,32.1087448,34.8054337,,,,,,tre,97
,32.1087298,34.8054617,,,,,,tre,97
,32.10875,34.8054487,,,,,,tre,97
,32.1087533,34.8054164,,,,,,tre,97
,32.1087581,34.8054068,,,,,,tre,97
,32.1087536,34.8054402,,,,,,tre,97
,32.1087636,34.8053978,,,,,,tre,97
,32.1087591,34.8054325,,,,,,tre,97
,32.1087736,34.8053801,,,,,,tre,97
,32.1087779,34.805371,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1087822,34.8053617,,,,,,tre,97
,32.1087864,34.8053534,,,,,,tre,97
,32.1087925,34.8053432,,,,,,tre,97
,32.1087925,34.8053432,,,,,,tre,97
,32.1087974,34.8053343,,,,,,tre,97
,32.1088006,34.8053253,,,,,,tre,97
,32.1088052,34.8053161,,,,,,tre,97
,32.1088052,34.8053161,,,,,,tre,97
,32.1088109,34.8053063,,,,,,tre,97
,32.1088147,34.8052982,,,,,,tre,97
,32.1088147,34.8052982,,,,,,tre,97
,32.1088199,34.8052888,,,,,,tre,97
,32.1088245,34.8052802,,,,,,tre,97
,32.1088289,34.8052708,,,,,,tre,97
,32.1088289,34.8052708,,,,,,tre,97
,32.1088341,34.8052618,,,,,,tre,97
,32.1088341,34.8052631,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1088341,34.8052631,,,,,,tre,97
,32.1088341,34.8052631,,,,,,tre,97
,32.1088341,34.8052631,,,,,,tre,97
,32.1087146,34.8050059,,,,,,tre,97
,32.10866144,34.80496276,,,,,,tre,97
,32.1086691,34.8049684,,,,,,tre,97
,32.1086691,34.8049684,,,,,,tre,97
,32.1086767,34.8049738,,,,,,tre,97
,32.1086844,34.8049798,,,,,,tre,97
,32.1086922,34.8049852,,,,,,tre,97
,32.1086994,34.8049904,,,,,,tre,97
,32.1086076,34.8047626,,,,,,tre,97
,32.1087075,34.8049959,,,,,,tre,97
,32.1087153,34.8050014,,,,,,tre,97
,32.1087231,34.8050072,,,,,,tre,97
,32.1087303,34.8050127,,,,,,tre,97
,32.1087459,34.8050236,,,,,,tre,97
,32.1087459,34.8050236,,,,,,tre,97
,32.108769,34.8050405,,,,,,tre,97
,32.1087536,34.805029,,,,,,tre,97
,32.1087608,34.8050346,,,,,,tre,97
,32.108769,34.8050405,,,,,,tre,97
,32.1087763,34.8050456,,,,,,tre,97
,32.1087995,34.8050626,,,,,,tre,97
,32.1087842,34.8050514,,,,,,tre,97
,32.1087916,34.8050568,,,,,,tre,97
,32.1087995,34.8050626,,,,,,tre,97
,32.1088148,34.8050738,,,,,,tre,97
,32.1088148,34.8050738,,,,,,tre,97
,32.1088148,34.8050738,,,,,,tre,97
,32.1088227,34.8050796,,,,,,tre,97
,32.1088303,34.8050845,,,,,,tre,97
,32.1088382,34.8050901,,,,,,tre,97
,32.1088459,34.8050957,,,,,,tre,97
,32.1088537,34.8051017,,,,,,tre,97
,32.1088537,34.8051017,,,,,,tre,97
,32.1088612,34.8051072,,,,,,tre,97
,32.1088689,34.8051125,,,,,,tre,97
,32.108877,34.8051181,,,,,,tre,97
,32.108877,34.8051181,,,,,,tre,97
,32.1088841,34.8051232,,,,,,tre,97
,32.1088917,34.8051285,,,,,,tre,97
,32.1088912,34.8051284,,,,,,tre,97
,32.1088912,34.8051284,,,,,,tre,97
,32.1087125,34.8050058,,,,,,tre,97
,32.1088227,34.8050796,,,,,,tre,97
,32.1088667,34.805109,,,,,,tre,97
,32.10888815,34.80511711,,,,,,tre,97
,32.1088622,34.8052076,,,,,,tre,97
,32.1088891,34.8051163,,,,,,tre,97
,32.1089042,34.8051253,,,,,,tre,97
,32.1089124,34.8051326,,,,,,tre,97
,32.1089124,34.8051326,,,,,,tre,97
,32.1088941,34.8051689,,,,,,tre,97
,32.1088905,34.8051764,,,,,,tre,97
,32.1088905,34.8051764,,,,,,tre,97
,32.1088846,34.8051851,,,,,,tre,97
,32.1088799,34.8051938,,,,,,tre,97
,32.1088749,34.8052037,,,,,,tre,97
,32.1088665,34.8052207,,,,,,tre,97
,32.1088665,34.8052207,,,,,,tre,97
,32.1088618,34.8052301,,,,,,tre,97
,32.1088567,34.8052171,,,,,,tre,97
,32.1088364,34.8052382,,,,,,tre,97
,32.1088642,34.8052451,,,,,,tre,97
,32.1088515,34.8052494,,,,,,tre,97
,32.1088665,34.8052207,,,,,,tre,97
,32.1088436,34.8052444,,,,,,tre,97
,32.10885958,34.80524693,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1088253,34.8052178,,,,,,tre,97
,32.1088253,34.8052178,,,,,,tre,97
,32.1088296,34.8052098,,,,,,tre,97
,32.1088356,34.8052011,,,,,,tre,97
,32.108878,34.8051923,,,,,,tre,97
,32.1088412,34.8052054,,,,,,tre,97
,32.1088253,34.8052178,,,,,,tre,97
,32.1088403,34.8052278,,,,,,tre,97
,32.10885753,34.80523511,,,,,,tre,97
,32.1088484,34.805233,,,,,,tre,97
,32.1088515,34.8052494,,,,,,tre,97
,32.1088567,34.8052171,,,,,,tre,97
,32.1088666,34.8051985,,,,,,tre,97
,32.10884183,34.80522941,,,,,,tre,97
,32.1088666,34.8051985,,,,,,tre,97
,32.1088713,34.80519,,,,,,tre,97
,32.1088761,34.8051817,,,,,,tre,97
,32.1088761,34.8051817,,,,,,tre,97
,32.1088765,34.8051806,,,,,,tre,97
,32.1088803,34.8051721,,,,,,tre,97
,32.1088484,34.805233,,,,,,tre,97
,32.1088941,34.8051689,,,,,,tre,97
,32.1088852,34.8051637,,,,,,tre,97
